,Q13C,Q18AA,Q18AB,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q24,Q25,Q26,Q27,Q29,Q29A,Education,AgeCat,PoliticalPartyAffiliation,Income,PoliticsGeneral,10
776,0,-8,10,-10,8,8,-10,10,-10,10,0,-10,-10,0,10,10,14,49.5,-8,120,-10,10
777,10,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,16,70,10,0,10,-10
778,0,8,-8,-10,-10,8,10,10,10,10,0,10,0,10,10,0,20,29.5,-8,120,-10,0
779,-10,10,-10,10,8,10,10,-10,-10,10,-10,10,0,0,10,10,12,59.5,10,20,-10,8
780,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,16,59.5,10,82.5,10,10
781,0,10,10,10,10,10,-10,10,10,10,0,10,0,10,10,10,14,59.5,10,35,10,5
782,10,10,10,10,0,10,0,10,0,10,0,10,0,10,10,-10,16,29.5,-10,95,0,0
783,0,10,10,10,-10,8,-10,10,10,10,-10,10,0,10,10,10,12,29.5,-10,20,-10,0
784,0,8,10,10,8,10,-10,10,10,10,-10,-10,10,0,10,-10,12,49.5,10,25,0,10
785,10,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,13,0,10,120,0,10
786,0,8,10,10,-10,10,10,10,10,10,10,10,0,10,10,10,18,49.5,-10,0,10,10
787,0,8,8,10,10,10,-10,10,10,10,10,10,0,10,10,-10,16,29.5,8,82.5,-10,0
788,-10,-10,10,-10,-10,-10,10,-10,-10,10,10,-10,-10,0,10,10,12,59.5,-10,62.5,-10,10
789,10,10,-10,10,10,-10,10,10,10,10,-10,-10,-10,0,10,-10,16,49.5,0,20,-10,10
790,10,0,0,0,-10,0,0,0,0,-10,-10,-10,-10,0,-10,0,8,49.5,0,0,0,10
791,0,10,10,10,-10,10,-10,10,10,10,10,10,0,10,10,-10,10,49.5,-8,20,-10,5
792,0,-8,10,10,10,10,10,10,10,10,10,10,0,10,-10,0,12,39.5,10,20,10,0
793,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,12,70,10,62.5,0,10
794,0,8,10,-10,-10,-10,10,10,-10,10,-10,-10,-10,0,10,10,16,49.5,-10,62.5,-10,10
795,0,10,10,10,10,10,0,0,0,0,-10,10,0,10,10,10,12,70,-10,25,0,10
